"タイトル","公開日","URL","長さ","科目","対象","No"
"【きっかけ英熟語-13】","2016-11-07T14:36:16.000Z","https://www.youtube.com/watch?v=WRsnZpq20yE","00:06:23","英語","中学生","13"
"【きっかけ英熟語-14】","2016-11-07T14:36:11.000Z","https://www.youtube.com/watch?v=VWmhvxdvdGg","00:09:31","英語","中学生","14"
"【きっかけ英熟語-15】","2016-11-07T14:36:03.000Z","https://www.youtube.com/watch?v=Ojr23gkCYx8","00:11:38","英語","中学生","15"
"【きっかけ英熟語-16】","2017-04-04T15:22:38.000Z","https://www.youtube.com/watch?v=o4pFx_y8JnY","00:08:02","英語","中学生","16"
"【きっかけ英熟語-17】","2017-04-04T15:23:15.000Z","https://www.youtube.com/watch?v=pdZ13vzZnao","00:11:01","英語","中学生","17"
"【きっかけ英熟語-18】","2016-11-11T03:30:53.000Z","https://www.youtube.com/watch?v=IumwLSLHvsk","00:10:07","英語","中学生","18"
"【きっかけ英熟語-19】","2016-11-12T05:35:02.000Z","https://www.youtube.com/watch?v=qyu8Oz4br9M","00:06:40","英語","中学生","19"
"【きっかけ英熟語-最終回】","2017-04-04T15:23:15.000Z","https://www.youtube.com/watch?v=hsH9e68grFw","00:10:52","英語","中学生",
"【英語並び替え-1】","2016-08-25T06:38:41.000Z","https://www.youtube.com/watch?v=1c3bi6izI1k","00:15:52","英語","中学生","1"
"【英語並び替え-2】","2016-08-25T06:38:01.000Z","https://www.youtube.com/watch?v=tYUpFmmlxlE","00:15:15","英語","中学生","2"
"【英語並び替え-3】","2016-08-31T05:01:24.000Z","https://www.youtube.com/watch?v=9TXNgTdPSLA","00:11:43","英語","中学生","3"
"【英語並び替え-4】","2016-09-05T06:45:34.000Z","https://www.youtube.com/watch?v=koaU3GUVhSc","00:14:05","英語","中学生","4"
"【英語並び替え-5】","2016-09-14T05:39:22.000Z","https://www.youtube.com/watch?v=-qvmE8o_rJk","00:11:59","英語","中学生","5"
"【英語並び替え-6】","2016-09-24T07:23:56.000Z","https://www.youtube.com/watch?v=4UcN_TxNS4c","00:10:53","英語","中学生","6"
"【英語並び替え-7】","2016-10-23T08:42:18.000Z","https://www.youtube.com/watch?v=tcBy1jdOVws","00:09:02","英語","中学生","7"
"高校受験対策 証明1","2016-08-03T03:34:09.000Z","https://www.youtube.com/watch?v=6nCy8dxo-8g","00:13:10","数学","中学3年",
"高校受験対策 証明2","2016-08-05T05:13:21.000Z","https://www.youtube.com/watch?v=Qs_y9x2saKI","00:17:53","数学","中学3年",
"高校受験対策 証明3","2016-08-11T05:11:58.000Z","https://www.youtube.com/watch?v=kJPK9zS38W4","00:13:25","数学","中学3年",
"高校受験対策 証明4","2016-08-17T02:37:54.000Z","https://www.youtube.com/watch?v=oPLCtKpMfro","00:14:35","数学","中学3年",
"高校受験対策 証明5","2016-10-23T08:41:24.000Z","https://www.youtube.com/watch?v=pRfip0bO478","00:18:01","数学","中学3年",
"高校受験対策 証明6","2017-01-30T06:09:42.000Z","https://www.youtube.com/watch?v=gg5epG58avY","00:15:09","数学","中学3年",
"【きっかけ英単語-0】動画の使い方","2016-06-22T02:49:12Z","https://www.youtube.com/watch?v=KXG_lqTD-CA","00:03:38","英語","中学生","0"
"【きっかけ英単語-1】","2016-06-22T02:49:16Z","https://www.youtube.com/watch?v=AdoEdANYafg","00:10:08","英語","中学生","1"
"【きっかけ英単語-2】","2016-06-24T05:01:01Z","https://www.youtube.com/watch?v=fQaPXrkn118","00:08:39","英語","中学生","2"
"【きっかけ英単語-3】","2016-06-26T04:19:44Z","https://www.youtube.com/watch?v=mM6dBB_pZuI","00:09:41","英語","中学生","3"
"【きっかけ英単語-4】","2016-06-28T05:16:27Z","https://www.youtube.com/watch?v=WH4zK4MGhQ8","00:08:01","英語","中学生","4"
"【きっかけ英単語-5】","2016-06-30T03:09:42Z","https://www.youtube.com/watch?v=knXvjrt-HQI","00:08:08","英語","中学生","5"
"【きっかけ英単語-6】","2016-07-02T03:02:36Z","https://www.youtube.com/watch?v=NrFaiKuXyqc","00:07:53","英語","中学生","6"
"【きっかけ英単語-7】 &プチ勉強法","2016-07-04T05:18:46Z","https://www.youtube.com/watch?v=_yjUob_tgfM","00:11:28","英語","中学生","7"
"【きっかけ英単語-8】","2016-07-05T15:18:49Z","https://www.youtube.com/watch?v=bKvowqMST4A","00:08:13","英語","中学生","8"
"【きっかけ英単語-9】","2016-07-08T03:36:26Z","https://www.youtube.com/watch?v=5-JeX0V1qv0","00:08:44","英語","中学生","9"
"【きっかけ英単語-10】","2016-07-10T00:39:47Z","https://www.youtube.com/watch?v=mDcYkbBZQNw","00:09:22","英語","中学生","10"
"【きっかけ英単語-11】","2016-07-12T04:51:50Z","https://www.youtube.com/watch?v=Z_Fil7gQ6ZM","00:07:24","英語","中学生","11"
"【きっかけ英単語-12】","2016-07-14T04:47:04Z","https://www.youtube.com/watch?v=m9z_RFlDA8o","00:08:29","英語","中学生","12"
"【きっかけ英単語-13】","2016-07-16T02:26:42Z","https://www.youtube.com/watch?v=M8mNswhTlqQ","00:12:35","英語","中学生","13"
"【きっかけ英単語-14】","2016-07-18T02:35:38Z","https://www.youtube.com/watch?v=AFh4GaNxcfc","00:08:19","英語","中学生","14"
"【きっかけ英単語-15】","2016-07-20T03:35:15Z","https://www.youtube.com/watch?v=qhzCt3pBj1g","00:11:26","英語","中学生","15"
"【きっかけ英単語-16】","2016-07-22T03:34:00Z","https://www.youtube.com/watch?v=UbdhzPM5KEg","00:09:25","英語","中学生","16"
"【きっかけ英単語-17】","2016-07-24T02:18:21Z","https://www.youtube.com/watch?v=MVYZenMp2Ws","00:04:58","英語","中学生","17"
"【きっかけ英単語-18】","2016-07-27T02:51:42Z","https://www.youtube.com/watch?v=CQQPCqBq3eg","00:09:38","英語","中学生","18"
"【きっかけ英単語-19】","2016-07-28T06:28:00Z","https://www.youtube.com/watch?v=2klOXJYgmOA","00:09:27","英語","中学生","19"
"【きっかけ英単語-20】","2016-07-30T04:01:39Z","https://www.youtube.com/watch?v=_iYwqzFZmaA","00:08:04","英語","中学生","20"
"【きっかけ英単語-21】","2016-08-02T03:23:24Z","https://www.youtube.com/watch?v=VtRl65WApDk","00:10:26","英語","中学生","21"
"【きっかけ英単語-22】","2016-08-04T03:44:18Z","https://www.youtube.com/watch?v=ditkGPhAuyI","00:09:26","英語","中学生","22"
"【きっかけ英単語-23(曜日編)】","2016-08-06T04:39:53Z","https://www.youtube.com/watch?v=MTtlS6HQIjc","00:07:11","英語","中学生","23"
"【きっかけ英単語-24(月編)】","2016-08-08T02:21:11Z","https://www.youtube.com/watch?v=TwbISQoTXgI","00:07:24","英語","中学生","24"
"【きっかけ英単語-25】","2016-08-10T05:51:21Z","https://www.youtube.com/watch?v=vxQ5j9FmCB8","00:09:46","英語","中学生","25"
"【きっかけ英単語-26】","2016-08-12T02:22:59Z","https://www.youtube.com/watch?v=btoa2ze7LKg","00:08:44","英語","中学生","26"
"【きっかけ英単語-27】","2016-08-14T05:55:54Z","https://www.youtube.com/watch?v=f6opDmSHBqk","00:05:50","英語","中学生","27"
"【きっかけ英単語-28】","2016-08-16T05:04:35Z","https://www.youtube.com/watch?v=IpASIVtm24M","00:07:05","英語","中学生","28"
"【きっかけ英単語-29(色編)】","2016-08-18T04:46:04Z","https://www.youtube.com/watch?v=9sW1JpPRjyg","00:04:26","英語","中学生","29"
"【きっかけ英単語-30】","2016-08-20T04:24:10Z","https://www.youtube.com/watch?v=5tOEr9Jp-Mk","00:06:25","英語","中学生","30"
"【きっかけ英単語-31】","2016-08-22T05:56:18Z","https://www.youtube.com/watch?v=mk245LoJnIw","00:07:16","英語","中学生","31"
"【きっかけ英単語-32】","2016-08-23T02:22:31Z","https://www.youtube.com/watch?v=w04mlR6gfCQ","00:07:54","英語","中学生","32"
"【きっかけ英単語-33】","2016-08-26T05:00:24Z","https://www.youtube.com/watch?v=3oCd7ozKC3o","00:08:31","英語","中学生","33"
"【きっかけ英単語-34】","2016-08-29T05:32:36Z","https://www.youtube.com/watch?v=U7n0tWrsTBk","00:07:53","英語","中学生","34"
"【きっかけ英単語-35】","2016-08-30T06:31:41Z","https://www.youtube.com/watch?v=zn13qJDD7Nc","00:08:10","英語","中学生","35"
"【きっかけ英単語-36】","2016-09-04T08:57:13Z","https://www.youtube.com/watch?v=cj6YZxaM1fo","00:08:19","英語","中学生","36"
"【きっかけ英単語-37】","2016-10-06T05:29:48Z","https://www.youtube.com/watch?v=xrqiOMmZXII","00:08:18","英語","中学生","37"
"【きっかけ英単語-38】","2016-10-26T05:08:47Z","https://www.youtube.com/watch?v=LRputIvcssc","00:07:18","英語","中学生","38"
"【きっかけ英単語-39】","2016-10-08T07:24:29Z","https://www.youtube.com/watch?v=UO_YIBAYk3Q","00:08:18","英語","中学生","39"
"【きっかけ英単語-最終回】","2016-10-08T07:23:55Z","https://www.youtube.com/watch?v=In-KcoI7RLw","00:09:30","英語","中学生",
"数A-65 約数と倍数(1)","2016-05-23T03:30:02.000Z","https://www.youtube.com/watch?v=OGG_E0jDPTU","00:11:33","数学","高校生","65"
"数A-66 約数と倍数(2)","2016-05-24T03:22:52.000Z","https://www.youtube.com/watch?v=sNcaJV2FUOM","00:13:15","数学","高校生","66"
"数A-67 約数と倍数(3)","2016-05-25T04:57:00.000Z","https://www.youtube.com/watch?v=JUd_B01gtl8","00:12:35","数学","高校生","67"
"数A-68 最大公約数・最小公倍数(1)","2016-05-26T02:36:09.000Z","https://www.youtube.com/watch?v=noqsyUhr6qk","00:11:03","数学","高校生","68"
"数A-69 最大公約数・最小公倍数(2)","2016-05-28T00:34:12.000Z","https://www.youtube.com/watch?v=bf05AN6UnyI","00:10:44","数学","高校生","69"
"数A-70 最大公約数・最小公倍数(3)","2016-05-30T01:50:24.000Z","https://www.youtube.com/watch?v=1BTnEutAxNw","00:10:24","数学","高校生","70"
"数A-71 除法の性質(1)","2016-05-31T02:05:51.000Z","https://www.youtube.com/watch?v=jv2HJbEGE90","00:08:04","数学","高校生","71"
"数A-72 除法の性質(2)","2016-06-01T02:31:43.000Z","https://www.youtube.com/watch?v=M1UL48Xd8DU","00:11:40","数学","高校生","72"
"数A-73 除法の性質(3)","2016-06-02T04:13:34.000Z","https://www.youtube.com/watch?v=XvBRcqo7C14","00:10:41","数学","高校生","73"
"数A-74 合同式","2016-06-03T01:12:47.000Z","https://www.youtube.com/watch?v=wCSO5X5zE5o","00:10:04","数学","高校生","74"
"数A-75 ユ-クリッドの互除法","2016-06-04T01:08:54.000Z","https://www.youtube.com/watch?v=yA7qf42FMqs","00:07:00","数学","高校生","75"
"数A-76 1次不定方程式(1)","2016-06-06T02:37:58.000Z","https://www.youtube.com/watch?v=8X2Wu-fWCmE","00:17:54","数学","高校生","76"
"数A-77 1次不定方程式(2)","2016-06-07T02:56:19.000Z","https://www.youtube.com/watch?v=gVHbC9-kBwQ","00:13:27","数学","高校生","77"
"数A-78 n進法(1)","2016-06-08T05:08:45.000Z","https://www.youtube.com/watch?v=UQe231BXAkU","00:08:53","数学","高校生","78"
"数A-79 n進法(2)","2016-06-09T23:12:15.000Z","https://www.youtube.com/watch?v=TTIC45E6YSk","00:08:30","数学","高校生","79"
"数A-80 n進法(3)","2016-06-11T05:27:34.000Z","https://www.youtube.com/watch?v=gohHxeOpECw","00:07:28","数学","高校生","80"
"数A-81 有限小数と循環小数","2016-06-13T02:59:07.000Z","https://www.youtube.com/watch?v=DlSga9sxtbQ","00:10:21","数学","高校生","81"
"数A-82(最終回) いろいろな方程式の整数解","2016-06-14T02:25:10.000Z","https://www.youtube.com/watch?v=8bmZvDCdaeg","00:11:34","数学","高校生","82"
"数A-33 内分・外分(1)","2016-04-08T06:04:53Z","https://www.youtube.com/watch?v=ZvMd3hvXFKI","00:10:10","数学","高校生","33"
"数A-34 内分と外分(2)","2016-04-10T06:39:59Z","https://www.youtube.com/watch?v=wOB_2vwC9cM","00:08:29","数学","高校生","34"
"数A-35 三角形の内心・外心・重心・垂心(1)","2016-04-11T05:10:01Z","https://www.youtube.com/watch?v=tRbcoSDaFkk","00:09:20","数学","高校生","35"
"数A-36 三角形の内心・外心・重心・垂心(2)","2016-04-13T03:48:39Z","https://www.youtube.com/watch?v=lz7HnMbLQ-8","00:10:08","数学","高校生","36"
"数A-37 三角形の内心・外心・重心・垂心(3)","2016-04-13T14:51:35Z","https://www.youtube.com/watch?v=MP3ANF3e_cQ","00:14:22","数学","高校生","37"
"数A-38 三角形の内心・外心・重心・垂心(4)","2016-04-15T08:11:12Z","https://www.youtube.com/watch?v=gf-nVtVuQkE","00:11:03","数学","高校生","38"
"数A-39 傍心と傍接円","2016-04-18T02:04:01Z","https://www.youtube.com/watch?v=qV6_MPh71cE","00:16:17","数学","高校生","39"
"数A-40 チェバの定理(1)","2016-04-19T01:45:22Z","https://www.youtube.com/watch?v=P2-EEKeZbfQ","00:05:57","数学","高校生","40"
"数A-41 チェバの定理(2)","2016-04-20T02:02:42Z","https://www.youtube.com/watch?v=CNHiewi2LZs","00:08:03","数学","高校生","41"
"数A-42 メネラウスの定理(1)","2016-04-21T01:51:10Z","https://www.youtube.com/watch?v=Ive2qi-fajE","00:07:25","数学","高校生","42"
"数A-43 メネラウスの定理(2)","2016-04-22T03:23:55Z","https://www.youtube.com/watch?v=7SKUl8tqF0o","00:08:38","数学","高校生","43"
"数A-44 三角形の辺と角の大小関係","2016-04-23T00:33:28Z","https://www.youtube.com/watch?v=uDPQdaXxics","00:11:33","数学","高校生","44"
"数A-45 円周角の定理(1)","2016-04-23T23:47:22Z","https://www.youtube.com/watch?v=rbsxdlTiohs","00:15:24","数学","高校生","45"
"数A-46 円周角の定理(2)","2016-04-25T03:05:01Z","https://www.youtube.com/watch?v=7hHymLWPacI","00:12:31","数学","高校生","46"
"数A-47 円に内接する四角形(1)","2016-04-26T03:31:28Z","https://www.youtube.com/watch?v=Lcxc_mBNoYg","00:07:40","数学","高校生","47"
"数A-48 円に内接する四角形(2)","2016-04-27T05:42:16Z","https://www.youtube.com/watch?v=1ZkmEw7i6jY","00:09:32","数学","高校生","48"
"数A-49 トレミ-の定理","2016-04-28T04:17:33Z","https://www.youtube.com/watch?v=iQsVScr_4UY","00:08:29","数学","高校生","49"
"数A-50 接弦定理","2016-04-30T02:16:27Z","https://www.youtube.com/watch?v=DbMmXdWltiM","00:10:19","数学","高校生","50"
"数A-51 方べきの定理(1)","2016-05-01T06:08:24Z","https://www.youtube.com/watch?v=VgVTQawMvdI","00:07:26","数学","高校生","51"
"数A-52 方べきの定理(2)","2016-05-02T04:25:32Z","https://www.youtube.com/watch?v=_nG3gg6S7pc","00:08:55","数学","高校生","52"
"数A-53 方べきの定理(3)","2016-05-04T09:36:47Z","https://www.youtube.com/watch?v=MdIjJ0NaIDg","00:08:08","数学","高校生","53"
"数A-54 2つの円の位置関係と共通接線(1)","2016-05-06T03:12:35Z","https://www.youtube.com/watch?v=1VeyUUU8XIM","00:16:56","数学","高校生","54"
"数A-55 2つの円の位置関係と共通接線(2)","2016-05-07T03:56:02Z","https://www.youtube.com/watch?v=Fq17X1lunBI","00:07:45","数学","高校生","55"
"数A-56 2つの円の位置関係と共通接線(3)","2016-05-11T04:20:29Z","https://www.youtube.com/watch?v=9BTlnE49ZjA","00:12:41","数学","高校生","56"
"数A-57 作図(1)","2016-05-12T03:28:49Z","https://www.youtube.com/watch?v=Y9isRq562qs","00:11:05","数学","高校生","57"
"数A-58 作図(2)","2016-05-13T01:41:57Z","https://www.youtube.com/watch?v=O5mMRtCAJqk","00:08:22","数学","高校生","58"
"数A-59 作図(3)","2016-05-16T06:41:01Z","https://www.youtube.com/watch?v=no4VaMBcC3U","00:16:35","数学","高校生","59"
"数A-60 作図(4)","2016-05-17T02:30:16Z","https://www.youtube.com/watch?v=rU9DcKqoCb0","00:13:10","数学","高校生","60"
"数A-61 作図(5)","2016-05-17T14:44:52Z","https://www.youtube.com/watch?v=9fee87nXAGk","00:14:06","数学","高校生","61"
"数A-62 直線と平面(1)","2016-05-19T01:46:01Z","https://www.youtube.com/watch?v=VaIgIu4jZxo","00:10:49","数学","高校生","62"
"数A-63 直線と平面(2)","2016-05-20T02:15:55Z","https://www.youtube.com/watch?v=MhIOnSLry7o","00:11:00","数学","高校生","63"
"数A-64 直線と平面(3)","2016-05-21T01:32:14Z","https://www.youtube.com/watch?v=RpZw16VPVsU","00:09:14","数学","高校生","64"
"数B-101 確率分布と確率変数(1)","2016-03-09T09:17:31.000Z","https://www.youtube.com/watch?v=JwtOopzF4AA","00:11:38","数学","高校生","101"
"数B-102 確率分布と確率変数(2)","2016-03-12T04:51:27.000Z","https://www.youtube.com/watch?v=HsDAFmbSsKU","00:14:35","数学","高校生","102"
"数B-103 期待値(1)","2016-03-14T05:16:00.000Z","https://www.youtube.com/watch?v=dMnGU2E0E7s","00:12:49","数学","高校生","103"
"数B-104 期待値(2)","2016-03-15T06:00:28.000Z","https://www.youtube.com/watch?v=jMKCdA12d_M","00:15:44","数学","高校生","104"
"数B-105 分散と標準偏差","2016-03-16T02:25:30.000Z","https://www.youtube.com/watch?v=4iNun5cvTzQ","00:09:06","数学","高校生","105"
"数B-106 確率変数の和と積(1)","2016-03-16T15:38:29.000Z","https://www.youtube.com/watch?v=QxUscIKcYzk","00:08:45","数学","高校生","106"
"数B-107 確率変数の和と積(2)","2016-03-18T11:13:28.000Z","https://www.youtube.com/watch?v=oKuUHrjny-g","00:13:24","数学","高校生","107"
"数B-108 確率変数の和と積(3)","2016-03-19T04:22:10.000Z","https://www.youtube.com/watch?v=Nmzgn8ytb3c","00:10:24","数学","高校生","108"
"数B-109 二項分布(1)","2016-03-21T03:55:14.000Z","https://www.youtube.com/watch?v=Ovff7R_ezvk","00:08:51","数学","高校生","109"
"数B-110 二項分布(2)","2016-03-22T04:31:02.000Z","https://www.youtube.com/watch?v=-1rjP9yq3LQ","00:05:51","数学","高校生","110"
"数B-111 二項分布(3)","2016-03-23T04:36:20.000Z","https://www.youtube.com/watch?v=tnMeaR0PoiQ","00:07:15","数学","高校生","111"
"数B-112 正規分布(1)","2016-03-24T03:17:14.000Z","https://www.youtube.com/watch?v=i5eEp7X2mIA","00:06:50","数学","高校生","112"
"数B-113 正規分布(2)","2016-03-25T05:17:34.000Z","https://www.youtube.com/watch?v=VAsjPD01q7g","00:12:08","数学","高校生","113"
"数B-114 正規分布(3)","2016-03-26T05:09:11.000Z","https://www.youtube.com/watch?v=BBiEjr2Mtkg","00:08:51","数学","高校生","114"
"数B-115 母集団と標本(1)","2016-03-28T02:45:30.000Z","https://www.youtube.com/watch?v=zSZwanqUrSE","00:07:26","数学","高校生","115"
"数B-116 母集団と標本(2)","2016-03-29T01:33:56.000Z","https://www.youtube.com/watch?v=eDL26JddenM","00:13:07","数学","高校生","116"
"数B-117(最終回) 推定","2016-03-30T03:55:18.000Z","https://www.youtube.com/watch?v=xzf-1uMGEyU","00:12:58","数学","高校生","117"
"数B-56 数列とは？","2016-01-20T03:32:44.000Z","https://www.youtube.com/watch?v=nAYz4q9nocQ","00:17:20","数学","高校生","56"
"数B-57 等差数列とその和(1)","2016-01-21T07:40:35.000Z","https://www.youtube.com/watch?v=cFV5G104n3w","00:12:17","数学","高校生","57"
"数B-58 等差数列とその和(2)","2016-01-22T05:01:01.000Z","https://www.youtube.com/watch?v=vyiDWJxoHoE","00:08:57","数学","高校生","58"
"数B-59 等差数列とその和(3)","2016-01-23T05:02:05.000Z","https://www.youtube.com/watch?v=7xcteFEd-F0","00:11:23","数学","高校生","59"
"数B-60 調和数列","2016-01-23T06:08:11.000Z","https://www.youtube.com/watch?v=It4kNJMKLyA","00:08:05","数学","高校生","60"
"数B-61 等差数列とその和(4)","2016-01-25T02:28:12.000Z","https://www.youtube.com/watch?v=Ol4_rq9I7as","00:12:10","数学","高校生","61"
"数B-62 等差数列とその和(5)","2016-01-26T04:09:08.000Z","https://www.youtube.com/watch?v=zlOI4wSmYOY","00:10:01","数学","高校生","62"
"数B-63 等差数列とその和(6)","2016-01-27T04:55:02.000Z","https://www.youtube.com/watch?v=9lAHsEyzito","00:17:49","数学","高校生","63"
"数B-64 等差数列とその和(7)","2016-01-28T03:24:15.000Z","https://www.youtube.com/watch?v=NCk5YNuJMB4","00:15:39","数学","高校生","64"
"数B-65 等比数列とその和(1)","2016-01-29T04:08:02.000Z","https://www.youtube.com/watch?v=yLjo5EHQ2iM","00:12:18","数学","高校生","65"
"数B-66 等比数列とその和(2)","2016-01-30T03:46:49.000Z","https://www.youtube.com/watch?v=RD9zL8dn5hA","00:08:39","数学","高校生","66"
"数B-67 等比数列とその和(3)","2016-01-30T03:58:31.000Z","https://www.youtube.com/watch?v=ubqIZ4XLjXQ","00:09:53","数学","高校生","67"
"数B-68 等比数列とその和(4)","2016-02-01T01:54:09.000Z","https://www.youtube.com/watch?v=x-Pk-CtdZ3k","00:10:56","数学","高校生","68"
"数B-69 等比数列とその和(5)","2016-02-02T03:15:23.000Z","https://www.youtube.com/watch?v=A40jmJZRIvk","00:17:49","数学","高校生","69"
"数B-70 等比数列とその和(6)","2016-02-03T04:49:29.000Z","https://www.youtube.com/watch?v=Vb6zPKYHka4","00:12:40","数学","高校生","70"
"数B-71 複利計算","2016-02-04T03:32:41.000Z","https://www.youtube.com/watch?v=T5ARezJJXxg","00:16:29","数学","高校生","71"
"数B-72 和の記号Σ(シグマ)(1)","2016-02-05T02:36:37.000Z","https://www.youtube.com/watch?v=AYpLK2I-6Pk","00:13:52","数学","高校生","72"
"数B-73 和の記号Σ(シグマ)(2)","2016-02-06T03:38:36.000Z","https://www.youtube.com/watch?v=uZN41VjZ_Wg","00:16:10","数学","高校生","73"
"数B-74 和の記号Σ(シグマ)(3)","2016-02-07T00:41:40.000Z","https://www.youtube.com/watch?v=gSavLsSeqCE","00:15:16","数学","高校生","74"
"数B-75 階差数列(1)","2016-02-08T04:19:22.000Z","https://www.youtube.com/watch?v=MSkfSphrf2w","00:12:33","数学","高校生","75"
"数B-76 階差数列(2)","2016-02-09T03:18:33.000Z","https://www.youtube.com/watch?v=QTU1eIys1Kw","00:11:37","数学","高校生","76"
"数B-77 階差数列(3)","2016-02-10T02:42:57.000Z","https://www.youtube.com/watch?v=Dna_gVrUCUw","00:13:24","数学","高校生","77"
"数B-78 数列の和と一般項(1)","2016-02-11T06:57:56.000Z","https://www.youtube.com/watch?v=cA6EFl9pjL0","00:09:27","数学","高校生","78"
"数B-79 数列の和と一般項(2)","2016-02-12T04:05:31.000Z","https://www.youtube.com/watch?v=--50yB5vu5c","00:09:34","数学","高校生","79"
"数B-80 いろいろな数列の和(1)","2016-02-15T04:48:56.000Z","https://www.youtube.com/watch?v=65g2LEvzf1s","00:22:24","数学","高校生","80"
"数B-81 いろいろな数列の和(2)","2016-02-16T04:41:24.000Z","https://www.youtube.com/watch?v=8ggnq3NYWqI","00:17:32","数学","高校生","81"
"数B-82 いろいろな数列の和(3)","2016-02-17T06:31:54.000Z","https://www.youtube.com/watch?v=Js7P3NzkaRM","00:13:28","数学","高校生","82"
"数B-83 群数列(1)","2016-02-18T00:37:28.000Z","https://www.youtube.com/watch?v=ybI8NJmMV1I","00:18:45","数学","高校生","83"
"数B-84 群数列(2)","2016-02-19T06:28:23.000Z","https://www.youtube.com/watch?v=7fTygdVEDEU","00:19:13","数学","高校生","84"
"数B-85 群数列(3)","2016-02-20T01:05:21.000Z","https://www.youtube.com/watch?v=BiUaOCJLcXw","00:13:55","数学","高校生","85"
"数B-86 群数列(4)","2016-02-22T03:16:43.000Z","https://www.youtube.com/watch?v=F3NQdAD8AJA","00:13:42","数学","高校生","86"
"数B-87 漸化式(1)","2016-02-23T02:35:00.000Z","https://www.youtube.com/watch?v=xuKbg3B5WT4","00:11:47","数学","高校生","87"
"数B-88 漸化式(2)","2016-02-24T04:26:22.000Z","https://www.youtube.com/watch?v=tR1BvhxH400","00:09:57","数学","高校生","88"
"数B-89 漸化式(3)","2016-02-25T02:07:50.000Z","https://www.youtube.com/watch?v=QO22sCvcSoQ","00:12:41","数学","高校生","89"
"数B-90 漸化式(4)","2016-02-26T04:35:54.000Z","https://www.youtube.com/watch?v=6_13TOHkGU0","00:13:12","数学","高校生","90"
"数B-91 漸化式(5)","2016-02-27T01:43:42.000Z","https://www.youtube.com/watch?v=xdmxg7uYbgs","00:11:22","数学","高校生","91"
"数B-92 漸化式(6)","2016-02-27T23:16:14.000Z","https://www.youtube.com/watch?v=Vdhk3skN3Hw","00:14:21","数学","高校生","92"
"数B-93 漸化式(7)","2016-02-29T00:20:59.000Z","https://www.youtube.com/watch?v=VroYbCGE2Co","00:16:33","数学","高校生","93"
"数B-94 漸化式(8)","2016-03-01T05:45:34.000Z","https://www.youtube.com/watch?v=o5iQe2xJohU","00:11:44","数学","高校生","94"
"数B-95 数学的帰納法(1)","2016-03-02T07:17:03.000Z","https://www.youtube.com/watch?v=IG0OBv9EHMY","00:16:30","数学","高校生","95"
"数B-96 数学的帰納法(2)","2016-03-03T07:47:28.000Z","https://www.youtube.com/watch?v=wVv93WUH92s","00:09:08","数学","高校生","96"
"数B-97 数学的帰納法(3)","2016-03-03T19:47:40.000Z","https://www.youtube.com/watch?v=IVyJsDDVWbQ","00:11:01","数学","高校生","97"
"数B-98 数学的帰納法(4)","2016-03-05T05:23:50.000Z","https://www.youtube.com/watch?v=co4CvT3xI1k","00:10:54","数学","高校生","98"
"数B-99 数学的帰納法(5)","2016-03-07T03:19:06.000Z","https://www.youtube.com/watch?v=-Esn9VQpl_k","00:11:07","数学","高校生","99"
"数B-100 数学的帰納法(6)","2016-03-08T04:34:16.000Z","https://www.youtube.com/watch?v=uskbxQZg3uw","00:12:49","数学","高校生","100"
"数B-35 空間の点の座標","2015-12-28T06:11:46Z","https://www.youtube.com/watch?v=qvem49UTOWo","00:15:03","数学","高校生","35"
"数B-36 2点間の距離(1)","2015-12-29T04:55:37Z","https://www.youtube.com/watch?v=fHiBMP2fokg","00:09:45","数学","高校生","36"
"数B-37 2点間の距離(2)","2015-12-30T07:13:45Z","https://www.youtube.com/watch?v=CP5diJiwV_Q","00:15:40","数学","高校生","37"
"数B-38 空間ベクトルと成分(1)","2016-01-02T04:15:52Z","https://www.youtube.com/watch?v=t5ZetG_Bz6o","00:09:39","数学","高校生","38"
"数B-39 空間ベクトルと成分(2)","2016-01-03T03:01:24Z","https://www.youtube.com/watch?v=p9jovaX-q5A","00:06:29","数学","高校生","39"
"数B-40 点の座標とベクトルの成分","2016-01-05T07:41:06Z","https://www.youtube.com/watch?v=3g4oBrOVKCA","00:10:26","数学","高校生","40"
"数B-41 空間ベクトルの内積(1)","2016-01-06T04:02:11Z","https://www.youtube.com/watch?v=iAgq16i8l-w","00:11:58","数学","高校生","41"
"数B-42 空間ベクトルの内積(2)","2016-01-07T02:57:45Z","https://www.youtube.com/watch?v=Bb0Y1LWSm-I","00:15:48","数学","高校生","42"
"数B-43 空間ベクトルの内積(3)","2016-01-08T15:09:26Z","https://www.youtube.com/watch?v=-xKli7w28vk","00:18:18","数学","高校生","43"
"数B-44 空間ベクトルの内積(4)","2016-01-08T15:36:56Z","https://www.youtube.com/watch?v=mZFnTDb-OpU","00:09:42","数学","高校生","44"
"数B-45 位置ベクトルと図形(1)","2016-01-10T00:38:25Z","https://www.youtube.com/watch?v=teG9DMLDmT8","00:13:23","数学","高校生","45"
"数B-46 位置ベクトルと図形(2)","2016-01-11T02:48:36Z","https://www.youtube.com/watch?v=GV_P4FqoWrg","00:12:15","数学","高校生","46"
"数B-47 位置ベクトルと図形(3)","2016-01-12T03:59:48Z","https://www.youtube.com/watch?v=uHlegwQSxmc","00:10:13","数学","高校生","47"
