"URL","科目","番号","タイトル","講師","言語"
"https://elf-c.he.u-tokyo.ac.jp/courses/398","数理手法Ⅷ","1","はじめに：データ解析と数理・物理手法","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/401","数理手法Ⅷ","2","固有値、ペロン・フロベニウスの定理（１）","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/402","数理手法Ⅷ","3","ペロン・フロベニウスの定理（２）、Power Method","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/403","数理手法Ⅷ","4","行列の対角化、特異値分解","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/404","数理手法Ⅷ","5","画像（ピクセル値）の特異値分解、擬似逆行列、最小二乗法","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/405","数理手法Ⅷ","6","最小二乗問題と最尤法","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/406","数理手法Ⅷ","7","スパースモデリングと主成分分析","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/408","数理手法Ⅷ","9","大数の法則","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/409","数理手法Ⅷ","10","中心極限定理","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/410","数理手法Ⅷ","11","乗算過程と成長過程","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/411","数理手法Ⅷ","12","複雑ネットワーク","島田 尚",
"https://elf-c.he.u-tokyo.ac.jp/courses/377","数理手法Ⅶ","1","時系列解析とは，時系列の前処理","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/379","数理手法Ⅶ","2","共分散関数, スペクトルとピリオドグラム","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/381","数理手法Ⅶ","3","統計的モデリング・情報量規準AIC","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/382","数理手法Ⅶ","4","モデルの推定・選択","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/384","数理手法Ⅶ","5","ARMAモデルによる時系列の解析","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/385","数理手法Ⅶ","6","ARモデルの推定","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/386","数理手法Ⅶ","7","局所定常ARモデル","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/388","数理手法Ⅶ","8","状態空間モデル","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/389","数理手法Ⅶ","9","ARMAモデルの最尤推定とトレンドモデル","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/390","数理手法Ⅶ","10","季節調整モデル: 成分分解による情報抽出","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/391","数理手法Ⅶ","11","ボラティリティ、時変係数ARモデル","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/392","数理手法Ⅶ","12","非線形・非ガウス型状態空間モデル","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/394","数理手法Ⅶ","13","粒子フィルタ","北川 源四郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/318","数理手法V","1","連続と位相①","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/321","数理手法V","2","連続と位相②","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/324","数理手法V","3","連続と位相③・微分形式と多様体上の微積分①","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/328","数理手法V","4","微分形式と多様体上の微積分②","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/329","数理手法V","5","微分形式と多様体上の微積分③","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/340","数理手法V","6","微分形式と多様体上の微積分④","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/343","数理手法V","7","微分形式と多様体上の微積分⑤","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/345","数理手法V","8","微分形式と多様体上の微積分⑥","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/344","数理手法V","9","微分形式と多様体上の微積分⑦・群（Group)①","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/349","数理手法V","10","群（Group)②","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/355","数理手法V","11","群（Group)③","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/361","数理手法V","12","群（Group)④","藤原 毅夫",
"https://elf-c.he.u-tokyo.ac.jp/courses/346","数理手法III","1","最適化の概要、連続最適化：無制約最適化①","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/316","数理手法III","2","連続最適化：無制約最適化②","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/317","数理手法III","3","連続最適化：無制約最適化③","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/369","数理手法III","4","連続最適化：無制約最適化④","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/322","数理手法III","5","連続最適化：無制約最適化⑤、制約付き最適化①","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/323","数理手法III","6","連続最適化：制約付き最適化②","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/326","数理手法III","7","凸計画①","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/334","数理手法III","8","凸計画②","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/336","数理手法III","9","凸計画③","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/373","数理手法III","10","ネットワーク計画①","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/350","数理手法III","11","ネットワーク計画②、組合せ最適化①","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/374","数理手法III","12","組合せ最適化の近似解法②、整数計画①","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/362","数理手法III","13","整数計画②","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/337","数理手法III","14","演習問題","寒野 善博",
"https://elf-c.he.u-tokyo.ac.jp/courses/320","データマイニング入門","1","イントロダクション","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/325","データマイニング入門","2","Python基礎 (1)","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/341","データマイニング入門","3","Python基礎 (2)","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/352","データマイニング入門","4","データの記述統計・前処理","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/353","データマイニング入門","5","テキスト分析の基礎","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/359","データマイニング入門","6","ネットワーク分析の基礎","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/360","データマイニング入門","7","クラスタリング","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/363","データマイニング入門","8","主成分分析","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/364","データマイニング入門","9","教師あり学習(1)：線形回帰","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/365","データマイニング入門","10","教師あり学習(2)：ロジスティック回帰、過学習と正則化","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/366","データマイニング入門","11","機械学習の実践","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/367","データマイニング入門","12","全体のまとめ","森 純一郎",
"https://elf-c.he.u-tokyo.ac.jp/courses/282","コンピュータシステム概論","1","環境準備","小林 克志",
"https://elf-c.he.u-tokyo.ac.jp/courses/285","コンピュータシステム概論","2","ソフトウェア構成管理","小林 克志",
"https://elf-c.he.u-tokyo.ac.jp/courses/287","コンピュータシステム概論","3","Python Programing (1)","小林 克志",
"https://elf-c.he.u-tokyo.ac.jp/courses/288","コンピュータシステム概論","4","Python Programing (2)","小林 克志",
"https://elf-c.he.u-tokyo.ac.jp/courses/299","コンピュータシステム概論","5","デジタルデータ形式","小林 克志",
